name,brand,price,img,id,features,place,year,age,outcome,habit
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,69,39339.0,3
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,27,37591.0,1
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,60,37138.0,3
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,39,39399.0,1
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,29,38859.0,3
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,62,39741.0,2
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,33,38865.0,1
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,61,37445.0,1
Mazda CX5 2.0 Deluxe - 2020,Mazda,35839.0,https://bonbanh.com.vn/uploads/users/425225/car/2647771/s_1577357068.jpg,Mã: 2647771,"+ Đèn viền LED, Auto daylight. + Bộ mâm xe Goshintai 19"" đẳng cấp + Nút xoay điều khiển trung tâm, hệ thống I-Stop + Vô lăng bọc da tích hợp điều khiển âm thanh, ...",Lâm Đồng,2020,45,37848.0,1
Ford Ranger Wildtrak 2.0L 4x4 AT - 2020,Ford,37612.0,https://bonbanh.com.vn/uploads/users/14173/car/1807581/s_1607058070.jpg,Mã: 1807581,"Động cơ Bi-Turbo 2.0 ( 213hp - 500Nm)
*** TẶNG 60 TRIỆU TIỀN MẶT hoặc tặng bộ phụ kiện Bedliner, Thùng, Film, BHVC.
- Giao xe ngay đủ các màu, thủ tục nhanh gọn, hỗ trợ cho vay ...",TP HCM,2020,44,39183.0,1
